Date,Open,High,Low,Close,Volume
2025-04-07,3016.3999023438,3050.8000488281,2949.6999511719,2951.3000488281,4424
2025-04-08,2994.0,3014.5,2968.3999023438,2968.3999023438,3213
2025-04-09,2965.8000488281,3090.3999023438,2965.8000488281,3056.5,2175
2025-04-10,3073.8999023438,3167.0,3072.1000976562,3155.1999511719,3456
2025-04-11,3182.1000976562,3235.0,3182.1000976562,3222.1999511719,862
2025-04-14,3215.5,3228.8000488281,3194.5,3204.8000488281,263
2025-04-15,3216.0,3218.6999511719,3214.0,3218.6999511719,390
2025-04-16,3238.3000488281,3334.8999023438,3238.3000488281,3326.6000976562,1874
2025-04-17,3345.0,3345.0,3287.8000488281,3308.6999511719,824
2025-04-21,3342.1999511719,3418.5,3342.1999511719,3406.1999511719,78
2025-04-22,3422.1999511719,3485.6000976562,3361.6999511719,3400.8000488281,785
2025-04-23,3321.1999511719,3370.3000488281,3256.1999511719,3276.3000488281,331
2025-04-24,3305.3999023438,3353.8999023438,3304.8999023438,3332.0,560
2025-04-25,3355.5,3355.5,3266.1000976562,3282.3999023438,162
2025-04-28,3284.5,3332.5,3284.5,3332.5,1300
2025-04-29,3340.0,3340.0,3299.8999023438,3318.8000488281,1278
2025-04-30,3318.6999511719,3318.6999511719,3268.0,3305.0,207
2025-05-01,3272.8999023438,3275.0,3198.6000976562,3210.0,2131
2025-05-02,3239.8999023438,3257.0,3225.0,3231.8999023438,1349
2025-05-05,3242.6999511719,3315.6999511719,3239.6999511719,3311.3000488281,244
2025-05-06,3365.5,3430.8999023438,3356.8000488281,3411.3999023438,2357
2025-05-07,3418.6999511719,3418.6999511719,3364.6999511719,3381.3999023438,1080
2025-05-08,3390.0,3390.0,3288.6999511719,3296.6000976562,200
2025-05-09,3299.0,3335.5,3299.0,3335.3999023438,216
2025-05-12,3300.6999511719,3300.6999511719,3205.0,3220.0,886
2025-05-13,3232.0,3251.3999023438,3223.5,3240.3000488281,2424
2025-05-14,3233.0,3233.0,3171.6999511719,3181.3999023438,3518
2025-05-15,3151.0,3228.1000976562,3125.0,3220.6999511719,652
2025-05-16,3227.6999511719,3228.1000976562,3173.8999023438,3182.0,199
2025-05-19,3234.3999023438,3241.0,3228.3000488281,3228.8999023438,266
2025-05-20,3219.0,3293.1999511719,3207.5,3280.3000488281,356
2025-05-21,3293.3999023438,3317.5,3290.1999511719,3309.3000488281,979
2025-05-22,3327.3000488281,3328.0,3282.6999511719,3292.3000488281,1210
2025-05-23,3328.0,3363.6000976562,3323.5,3363.6000976562,47
2025-05-27,3332.5,3341.0,3296.3000488281,3299.1000976562,189
2025-05-28,3293.6000976562,3293.6000976562,3293.6000976562,3293.6000976562,127758
2025-05-29,3283.6999511719,3328.8000488281,3242.3999023438,3317.1000976562,24370
2025-05-30,3315.1000976562,3318.0,3270.8999023438,3288.8999023438,2213
2025-06-02,3296.8999023438,3380.8000488281,3296.8999023438,3370.6000976562,976
2025-06-03,3385.1000976562,3390.0,3331.3000488281,3350.1999511719,6410
2025-06-04,3355.0,3380.0,3344.0,3373.5,207
2025-06-05,3371.5,3400.0,3343.6999511719,3350.6999511719,731
2025-06-06,3364.3000488281,3364.3000488281,3306.0,3322.6999511719,81
2025-06-09,3315.6000976562,3334.6000976562,3290.0,3332.1000976562,1887
2025-06-10,3302.0,3344.3000488281,3302.0,3320.8999023438,65
2025-06-11,3328.0,3356.0,3321.3000488281,3321.3000488281,2106
2025-06-12,3363.0,3395.8999023438,3353.3999023438,3380.8999023438,1818
2025-06-13,3407.3000488281,3444.0,3407.3000488281,3431.1999511719,499
2025-06-16,3442.0,3442.0,3385.3999023438,3396.3999023438,480
2025-06-17,3398.3000488281,3398.3000488281,3376.1000976562,3386.6000976562,1477
2025-06-18,3385.3000488281,3391.8999023438,3365.1000976562,3389.8000488281,0
2025-06-20,3350.0,3372.8999023438,3341.0,3368.1000976562,709
2025-06-23,3365.8999023438,3387.8999023438,3350.0,3377.6999511719,30
2025-06-24,3358.0,3358.0,3301.0,3317.3999023438,538
2025-06-25,3321.6000976562,3331.1999511719,3310.6000976562,3327.1000976562,373
2025-06-26,3332.3999023438,3333.5,3332.3999023438,3333.5,2058
2025-06-27,3318.6999511719,3318.6999511719,3253.8000488281,3273.6999511719,284
2025-06-30,3265.8999023438,3306.8999023438,3262.0,3294.3999023438,1242
2025-07-01,3310.1000976562,3354.1000976562,3310.1000976562,3336.6999511719,371
2025-07-02,3329.0,3357.5,3329.0,3348.0,39
2025-07-03,3362.0,3362.0,3322.3000488281,3331.6000976562,0
2025-07-04,3342.0,3342.0,3332.5,3332.5,0
2025-07-07,3305.5,3333.3000488281,3299.1999511719,3332.1999511719,254
2025-07-08,3330.3999023438,3334.5,3287.6000976562,3307.0,909
2025-07-09,3289.3999023438,3314.0,3282.0,3311.6000976562,114
2025-07-10,3323.6000976562,3330.5,3311.6000976562,3317.3999023438,209
2025-07-11,3330.5,3370.0,3330.5,3356.0,776
2025-07-14,3367.0,3375.5,3350.0,3351.5,583
2025-07-15,3341.0,3341.0,3329.8000488281,3329.8000488281,210
2025-07-16,3341.1999511719,3352.8999023438,3329.5,3352.5,10
2025-07-17,3313.8000488281,3340.8000488281,3313.8000488281,3340.1000976562,667
2025-07-18,3338.1999511719,3353.0,3338.1999511719,3353.0,602
2025-07-21,3350.3000488281,3411.6999511719,3350.3000488281,3401.8999023438,53
2025-07-22,3411.0,3441.0,3395.6000976562,3439.1999511719,39
2025-07-23,3430.3000488281,3433.8999023438,3388.1000976562,3394.1000976562,63
2025-07-24,3367.0,3371.0,3367.0,3371.0,1175
2025-07-25,3344.0,3345.0,3326.5,3334.0,67
2025-07-28,3326.6000976562,3326.8000488281,3309.1000976562,3309.1000976562,533
2025-07-29,3323.3999023438,3323.3999023438,3323.3999023438,3323.3999023438,113144
2025-07-30,3325.8000488281,3331.8000488281,3263.8999023438,3295.8000488281,19252
2025-07-31,3272.8999023438,3312.0,3272.8999023438,3293.1999511719,3704
2025-08-01,3286.1999511719,3360.6000976562,3281.0,3347.6999511719,3420
2025-08-04,3367.6000976562,3386.5,3347.3999023438,3374.3999023438,351
2025-08-05,3378.5,3387.1999511719,3351.1999511719,3381.8999023438,915
2025-08-06,3380.6999511719,3383.3000488281,3361.3000488281,3380.0,1492
2025-08-07,3384.8999023438,3422.8999023438,3384.8999023438,3400.3000488281,5464
2025-08-08,3438.8000488281,3477.0,3402.5,3439.1000976562,7657
2025-08-11,3383.8999023438,3383.8999023438,3349.1999511719,3353.1000976562,1488
2025-08-12,3356.1999511719,3356.1999511719,3330.1000976562,3348.8999023438,1611
2025-08-13,3358.8000488281,3363.3999023438,3358.6999511719,3358.6999511719,1011
2025-08-14,3346.8000488281,3356.0,3328.8999023438,3335.1999511719,592
2025-08-15,3346.8000488281,3346.8000488281,3335.8999023438,3336.0,1185
2025-08-18,3333.5,3347.8000488281,3331.6999511719,3331.6999511719,646
2025-08-19,3330.1999511719,3343.5,3313.3999023438,3313.3999023438,1655
2025-08-20,3310.6000976562,3343.5,3310.1000976562,3343.3999023438,1213
2025-08-21,3349.3999023438,3349.3999023438,3326.5,3336.8999023438,142
2025-08-22,3349.3999023438,3377.6999511719,3349.3999023438,3374.3999023438,1240
2025-08-25,3366.0,3378.0,3366.0,3373.8000488281,1044
2025-08-26,3378.8999023438,3396.5,3371.1000976562,3388.6000976562,905
2025-08-27,3397.0,3404.6000976562,3382.0,3404.6000976562,3222
2025-08-28,3409.0,3434.6000976562,3400.0,3431.8000488281,1035
2025-08-29,3432.5,3475.6000976562,3426.6000976562,3473.6999511719,0
2025-09-02,3485.6999511719,3559.1999511719,3485.6999511719,3549.3999023438,658
2025-09-03,3554.8000488281,3593.6999511719,3553.1999511719,3593.1999511719,72
2025-09-04,3549.8999023438,3573.6000976562,3549.8999023438,3565.8000488281,237
2025-09-05,3567.8000488281,3613.1999511719,3567.8000488281,3613.1999511719,925
2025-09-08,3594.5,3641.0,3590.0,3638.1000976562,97
2025-09-09,3647.1000976562,3670.3999023438,3627.8000488281,3643.3000488281,535
2025-09-10,3625.0,3655.3999023438,3620.8000488281,3643.6000976562,136
2025-09-11,3632.8999023438,3636.8999023438,3618.3999023438,3636.8999023438,307
2025-09-12,3655.5,3656.8000488281,3643.0,3649.3999023438,1300
2025-09-15,3640.0,3686.3999023438,3635.1000976562,3682.1999511719,210
2025-09-16,3681.3999023438,3698.6000976562,3681.3999023438,3688.8999023438,373
2025-09-17,3669.0,3685.1999511719,3661.6000976562,3681.8000488281,183
2025-09-18,3654.6000976562,3667.3999023438,3637.0,3643.6999511719,80
2025-09-19,3659.0,3685.8999023438,3658.1999511719,3671.5,211
2025-09-22,3688.1999511719,3748.1999511719,3688.0,3740.6999511719,410
2025-09-23,3747.0,3786.0,3740.0,3780.6000976562,627
2025-09-24,3769.8000488281,3772.5,3732.1000976562,3732.1000976562,588
2025-09-25,3742.8000488281,3756.0,3724.6999511719,3736.8999023438,1899
2025-09-26,3775.3000488281,3775.3000488281,3775.3000488281,3775.3000488281,19308
2025-09-29,3754.8000488281,3827.6000976562,3754.8000488281,3820.8999023438,8860
2025-09-30,3827.5,3865.5,3793.3999023438,3840.8000488281,1611
2025-10-01,3863.5,3891.8999023438,3853.3000488281,3867.5,1778
2025-10-02,3856.1999511719,3888.6000976562,3823.6999511719,3839.6999511719,3418
2025-10-03,3855.1999511719,3886.8000488281,3853.6999511719,3880.8000488281,392
2025-10-06,3931.3000488281,3960.0,3926.8000488281,3948.5,1267
2025-10-07,3959.3999023438,3981.5,3940.0,3976.6000976562,2903
2025-10-08,3987.1999511719,4049.1999511719,3987.1999511719,4043.3000488281,2179
2025-10-09,4011.1999511719,4046.1999511719,3940.0,3946.3000488281,3130
2025-10-10,3957.0,4012.0,3945.5,3975.8999023438,1697
2025-10-13,4016.0,4111.0,4016.0,4108.6000976562,1697
2025-10-14,4131.7001953125,4160.1000976562,4085.8000488281,4138.7001953125,2424
2025-10-15,4145.0,4210.6000976562,4145.0,4176.8999023438,3287
2025-10-16,4198.7998046875,4307.0,4196.6000976562,4280.2001953125,4705
2025-10-17,4354.7001953125,4358.0,4182.2001953125,4189.8999023438,4060
2025-10-20,4244.1000976562,4356.6000976562,4214.6000976562,4336.3999023438,1750
2025-10-21,4332.7001953125,4332.7001953125,4087.6999511719,4087.6999511719,2943
2025-10-22,4109.7001953125,4148.5,4006.0,4044.3999023438,1237
2025-10-23,4078.3999023438,4136.7998046875,4070.6999511719,4125.5,354
2025-10-24,4117.5,4120.6000976562,4074.8999023438,4118.3999023438,123
2025-10-27,4060.0,4078.6000976562,3971.3000488281,4001.8999023438,220
2025-10-28,3929.6999511719,3966.1999511719,3923.6000976562,3966.1999511719,219
2025-10-29,3983.6999511719,3983.6999511719,3983.6999511719,3983.6999511719,1344
2025-10-30,3960.0,4027.1999511719,3913.6999511719,4001.3000488281,935
2025-10-31,4034.5,4034.5,3976.6000976562,3982.1999511719,559
2025-11-03,3976.1999511719,4020.0,3959.0,4000.3000488281,0
2025-11-04,3994.1999511719,3995.3999023438,3927.3999023438,3947.6999511719,657
2025-11-05,3929.8999023438,3983.5,3929.8999023438,3980.3000488281,559
2025-11-06,4004.0,4007.5,3979.8999023438,3979.8999023438,650
2025-11-07,3980.8000488281,3999.3999023438,3980.8000488281,3999.3999023438,245
2025-11-10,4060.0,4111.7998046875,4060.0,4111.7998046875,189
2025-11-11,4140.1000976562,4140.1000976562,4106.7998046875,4106.7998046875,569
2025-11-12,4115.6000976562,4204.3999023438,4102.8999023438,4204.3999023438,396
2025-11-13,4228.7001953125,4228.7001953125,4163.7001953125,4186.8999023438,167
2025-11-14,4197.7001953125,4197.8999023438,4047.0,4087.6000976562,483
2025-11-17,4070.0,4099.5,4019.3999023438,4068.3000488281,1552
2025-11-18,4037.3999023438,4063.3999023438,4035.6000976562,4061.3000488281,1375
2025-11-19,4086.1000976562,4122.7001953125,4072.0,4077.6999511719,486
2025-11-20,4045.0,4090.3999023438,4040.1999511719,4056.5,202
2025-11-21,4031.8000488281,4085.1999511719,4031.8000488281,4076.6999511719,171
2025-11-24,4060.5,4091.8999023438,4060.5,4091.8999023438,591
2025-11-25,4139.2001953125,4139.2001953125,4139.2001953125,4139.2001953125,132704
2025-11-26,4128.6000976562,4171.0,4127.5,4165.2001953125,25088
2025-11-28,4163.3999023438,4223.8999023438,4140.0,4218.2998046875,3615
2025-12-01,4218.5,4262.1000976562,4214.8999023438,4239.2998046875,913
2025-12-02,4230.5,4230.5,4167.0,4186.6000976562,366
2025-12-03,4215.7001953125,4234.1000976562,4195.7001953125,4199.2998046875,1897
2025-12-04,4211.0,4211.7998046875,4175.0,4211.7998046875,616
2025-12-05,4204.1000976562,4255.7001953125,4194.5,4212.8999023438,533
2025-12-08,4205.5,4215.7998046875,4175.5,4187.2001953125,318
2025-12-09,4190.7001953125,4219.7001953125,4177.7001953125,4206.7001953125,660
2025-12-10,4209.0,4234.5,4183.6000976562,4196.3999023438,692
2025-12-11,4224.0,4286.8999023438,4214.2998046875,4285.5,528
2025-12-12,4276.3999023438,4355.0,4260.0,4300.1000976562,1531
2025-12-15,4308.2998046875,4349.2001953125,4292.8999023438,4306.7001953125,854
2025-12-16,4270.5,4321.3999023438,4270.5,4304.5,1796
2025-12-17,4308.5,4351.3999023438,4308.5,4347.5,2169
2025-12-18,4331.0,4348.1000976562,4328.2001953125,4339.5,705
2025-12-19,4350.1000976562,4361.3999023438,4350.1000976562,4361.3999023438,1065
2025-12-22,4371.1000976562,4447.6000976562,4371.1000976562,4444.6000976562,449
2025-12-23,4503.2998046875,4503.7998046875,4450.3999023438,4482.7998046875,694
2025-12-24,4500.7001953125,4503.3999023438,4468.3999023438,4480.6000976562,500
2025-12-26,4512.0,4556.2998046875,4502.0,4529.1000976562,263
2025-12-29,4371.5,4379.0,4325.1000976562,4325.1000976562,2044
2025-12-30,4346.3999023438,4403.6000976562,4338.0,4370.1000976562,1837
2025-12-31,4333.5,4363.7998046875,4285.0,4325.6000976562,785
2026-01-02,4350.6000976562,4350.6000976562,4314.3999023438,4314.3999023438,589
2026-01-05,4386.7001953125,4443.5,4384.7998046875,4436.8999023438,618
2026-01-06,4449.7001953125,4482.2001953125,4449.0,4482.2001953125,459
2026-01-07,4450.0,4450.0,4449.2998046875,4449.2998046875,972
2026-01-08,4460.2001953125,4461.2998046875,4418.0,4449.7001953125,2423
2026-01-09,4473.0,4490.2998046875,4473.0,4490.2998046875,237
2026-01-12,4579.1000976562,4620.0,4577.7998046875,4604.2998046875,156
2026-01-13,4578.6000976562,4617.1000976562,4578.6000976562,4589.2001953125,239
2026-01-14,4610.2998046875,4635.0,4608.2001953125,4626.2998046875,1313
2026-01-15,4612.8999023438,4616.2998046875,4612.8999023438,4616.2998046875,4358
2026-01-16,4608.0,4608.0,4588.3999023438,4588.3999023438,352
2026-01-20,4662.2001953125,4764.0,4661.7998046875,4759.6000976562,175
2026-01-21,4863.5,4872.2998046875,4771.5,4831.7998046875,1706
2026-01-22,4791.8999023438,4908.7998046875,4791.8999023438,4908.7998046875,1175
2026-01-23,4949.6000976562,4976.2001953125,4936.0,4976.2001953125,169
2026-01-26,5081.5,5095.6000976562,5052.2001953125,5079.7001953125,180
2026-01-27,5079.8999023438,5079.8999023438,5079.8999023438,5079.8999023438,34
2026-01-28,5301.6000976562,5301.6000976562,5301.6000976562,5301.6000976562,112054
2026-01-29,5415.7001953125,5586.2001953125,5097.5,5318.3999023438,23709
2026-01-30,5376.3999023438,5440.5,4700.0,4713.8999023438,8374
2026-02-02,4807.7001953125,4855.7998046875,4400.0,4622.5,3588
2026-02-03,4680.0,4984.6000976562,4674.2998046875,4903.7001953125,1213
2026-02-04,4923.2998046875,5082.2001953125,4897.8999023438,4920.3999023438,3886
2026-02-05,5008.7001953125,5012.2998046875,4786.0,4861.3999023438,793
2026-02-06,4762.0,4958.5,4655.0,4951.2001953125,1386
2026-02-09,5017.3999023438,5065.7001953125,4979.1000976562,5050.8999023438,170
2026-02-10,5013.5,5029.0,5002.7001953125,5003.7998046875,281
2026-02-11,5049.8999023438,5111.2998046875,5041.2998046875,5071.6000976562,2681
2026-02-12,5060.3999023438,5078.1000976562,4892.0,4923.7001953125,484
2026-02-13,4953.0,5043.8999023438,4946.2001953125,5022.0,232
2026-02-17,5020.0,5020.0,4847.7998046875,4882.8999023438,540
2026-02-18,4872.2001953125,4987.0,4869.5,4986.5,544
2026-02-19,5014.7001953125,5014.7001953125,4975.8999023438,4975.8999023438,37
2026-02-20,5039.5,5072.7001953125,5039.5,5059.2998046875,37
2026-02-23,5128.7998046875,5198.7998046875,5120.3999023438,5169.2001953125,65257
